id,province,case_id,species,sex,cwd_status
1,Saskatchewan,100,"Mule Deer",Male,Positive
2,Saskatchewan,101,"Mule Deer",Male,Positive
3,Saskatchewan,102,"Mule Deer",Male,Positive
4,Saskatchewan,103,"Mule Deer",Female,Positive
5,Saskatchewan,104,"Mule Deer",Male,Positive
6,Saskatchewan,105,"Mule Deer",Male,Positive
7,Saskatchewan,106,"Mule Deer",Female,Positive
8,Saskatchewan,107,"White-tailed Deer",Female,Positive
9,Saskatchewan,108,"Mule Deer",Male,Positive
10,Saskatchewan,109,"Mule Deer",Female,Positive
11,Saskatchewan,110,"Mule Deer",Male,Positive
12,Saskatchewan,111,"Mule Deer",Male,Positive
13,Saskatchewan,112,"Mule Deer",Female,Positive
14,Saskatchewan,113,"Mule Deer",Male,Positive
15,Alberta,15,"Mule Deer",Female,Positive
16,Alberta,16,"Mule Deer",Female,Positive
17,Alberta,17,"Mule Deer",Male,Positive
18,Alberta,21,"Mule Deer",Female,Positive
19,Alberta,22,"Mule Deer",Female,Positive
20,Alberta,23,"Mule Deer",Female,Positive
21,Alberta,24,"Mule Deer",Female,Positive
22,Alberta,25,"Mule Deer",Female,Positive
23,Alberta,26,"Mule Deer",Female,Positive
24,Alberta,27,"White-tailed Deer",Male,Positive
25,Alberta,28,"Mule Deer",Male,Positive
26,Alberta,29,"Mule Deer",Male,Positive
27,Saskatchewan,114,"Mule Deer",Female,Positive
28,Saskatchewan,115,"Mule Deer",Female,Positive
29,Saskatchewan,116,"Mule Deer",Female,Positive
30,Saskatchewan,117,"Mule Deer",Male,Positive
31,Saskatchewan,118,"Mule Deer",Female,Positive
32,Saskatchewan,119,"White-tailed Deer",Female,Positive
33,Saskatchewan,120,"White-tailed Deer",Female,Positive
34,Saskatchewan,121,"Mule Deer",Female,Positive
35,Alberta,30,"Mule Deer",Female,Positive
36,Alberta,32,"Mule Deer",Male,Positive
37,Alberta,34,"Mule Deer",Male,Positive
38,Alberta,36,"White-tailed Deer",Male,Positive
39,Alberta,45,"Mule Deer",Male,Positive
40,Alberta,48,"Mule Deer",Male,Positive
41,Alberta,49,"White-tailed Deer",Female,Positive
42,Alberta,50,"Mule Deer",Female,Positive
43,Alberta,51,"Mule Deer",Female,Positive
44,Alberta,52,"White-tailed Deer",Female,Positive
45,Alberta,53,"Mule Deer",Male,Positive
46,Saskatchewan,122,"Mule Deer",Female,Positive
47,Saskatchewan,123,"Mule Deer",Female,Positive
48,Saskatchewan,124,"Mule Deer",Female,Positive
49,Saskatchewan,125,"Mule Deer",Male,Positive
50,Saskatchewan,126,"Mule Deer",Male,Positive
51,Saskatchewan,127,"Mule Deer",Male,Positive
52,Saskatchewan,128,"Mule Deer",Female,Positive
53,Saskatchewan,129,"Mule Deer",Male,Positive
54,Saskatchewan,130,"Mule Deer",Female,Positive
55,Saskatchewan,131,"Mule Deer",Male,Positive
56,Saskatchewan,132,"Mule Deer",Female,Positive
57,Saskatchewan,133,"Mule Deer",Female,Positive
58,Saskatchewan,134,"Mule Deer",Female,Positive
59,Alberta,56,"Mule Deer",Female,Positive
60,Alberta,59,"Mule Deer",Male,Positive
61,Alberta,60,"Mule Deer",Male,Positive
62,Alberta,61,"Mule Deer",Male,Positive
63,Saskatchewan,135,"Mule Deer",Female,Positive
64,Saskatchewan,136,"Mule Deer",Female,Positive
65,Saskatchewan,137,"Mule Deer",Female,Positive
66,Saskatchewan,138,"Mule Deer",Female,Positive
67,Saskatchewan,139,"Mule Deer",Male,Positive
68,Saskatchewan,140,"Mule Deer",Female,Positive
69,Saskatchewan,141,"Mule Deer",Female,Positive
70,Alberta,65,"Mule Deer",Male,Positive
71,Alberta,66,"Mule Deer",Female,Positive
72,Alberta,68,"Mule Deer",Male,Positive
73,Alberta,69,"Mule Deer",Female,Positive
74,Alberta,70,"Mule Deer",Male,Positive
75,Alberta,71,"Mule Deer",Male,Positive
76,Alberta,72,"Mule Deer",Male,Positive
77,Alberta,73,"White-tailed Deer",Male,Positive
78,Alberta,74,"Mule Deer",Male,Positive
79,Alberta,75,"Mule Deer",Male,Positive
80,Saskatchewan,142,"Mule Deer",Female,Positive
81,Saskatchewan,143,"Mule Deer",Female,Positive
82,Saskatchewan,144,"Mule Deer",Female,Positive
83,Saskatchewan,145,"Mule Deer",Female,Positive
84,Saskatchewan,146,"Mule Deer",Female,Positive
85,Saskatchewan,147,"Mule Deer",Female,Positive
86,Saskatchewan,148,"Mule Deer",Female,Positive
87,Saskatchewan,149,"Mule Deer",Female,Positive
88,Saskatchewan,150,"Mule Deer",Male,Positive
89,Saskatchewan,151,"Mule Deer",Male,Positive
90,Alberta,76,"White-tailed Deer",Male,Positive
91,Alberta,78,"Mule Deer",Male,Positive
92,Alberta,79,"Mule Deer",Female,Positive
93,Alberta,82,"Mule Deer",Female,Positive
94,Alberta,83,"Mule Deer",Female,Positive
95,Alberta,84,"White-tailed Deer",Male,Positive
96,Alberta,88,"Mule Deer",Male,Positive
97,Alberta,89,"Mule Deer",Male,Positive
98,Alberta,90,"Mule Deer",Male,Positive
99,Alberta,91,"Mule Deer",Male,Positive
100,Alberta,92,"Mule Deer",Male,Positive
101,Alberta,93,"Mule Deer",Male,Positive
102,Alberta,94,"Mule Deer",Male,Positive
103,Saskatchewan,30014,"Mule Deer",Male,Negative
104,Saskatchewan,30015,"Mule Deer",Female,Negative
105,Saskatchewan,30017,"Mule Deer",Male,Negative
106,Saskatchewan,30018,"Mule Deer",Female,Negative
107,Saskatchewan,30019,"Mule Deer",Female,Negative
108,Saskatchewan,30020,"Mule Deer",Female,Negative
109,Saskatchewan,30021,"Mule Deer",Female,Negative
110,Saskatchewan,30022,"Mule Deer",Female,Negative
111,Saskatchewan,30023,"Mule Deer",Female,Negative
112,Saskatchewan,30024,"Mule Deer",Female,Negative
113,Saskatchewan,30025,"Mule Deer",Male,Negative
114,Saskatchewan,30026,"Mule Deer",Female,Negative
115,Saskatchewan,30027,"Mule Deer",Female,Negative
116,Saskatchewan,30028,"Mule Deer",Female,Negative
117,Saskatchewan,30029,"Mule Deer",Female,Negative
118,Saskatchewan,30030,"Mule Deer",Female,Negative
119,Saskatchewan,30031,"Mule Deer",Female,Negative
120,Saskatchewan,30032,"Mule Deer",Female,Negative
121,Saskatchewan,30033,"Mule Deer",Female,Negative
122,Saskatchewan,30034,"Mule Deer",Female,Negative
123,Saskatchewan,30035,"Mule Deer",Female,Negative
124,Saskatchewan,30036,"Mule Deer",Female,Negative
125,Saskatchewan,30037,"Mule Deer",Female,Negative
126,Saskatchewan,30038,"Mule Deer",Female,Negative
127,Saskatchewan,30039,"Mule Deer",Female,Negative
128,Saskatchewan,30040,"Mule Deer",Male,Negative
129,Saskatchewan,30041,"Mule Deer",Female,Negative
130,Saskatchewan,30042,"Mule Deer",Female,Negative
131,Saskatchewan,30043,"Mule Deer",Female,Negative
132,Saskatchewan,30044,"Mule Deer",Female,Negative
133,Saskatchewan,30045,"Mule Deer",Female,Negative
134,Saskatchewan,30046,"Mule Deer",Female,Negative
135,Saskatchewan,30047,"Mule Deer",Female,Negative
136,Saskatchewan,30049,"Mule Deer",Female,Negative
137,Saskatchewan,30050,"Mule Deer",Female,Negative
138,Saskatchewan,30051,"Mule Deer",Male,Negative
139,Saskatchewan,30052,"Mule Deer",Female,Negative
140,Saskatchewan,30053,"Mule Deer",Female,Negative
141,Saskatchewan,30054,"Mule Deer",Female,Negative
142,Saskatchewan,30055,"Mule Deer",Female,Negative
143,Saskatchewan,30056,"Mule Deer",Male,Negative
144,Saskatchewan,30057,"Mule Deer",Female,Negative
145,Saskatchewan,30058,"Mule Deer",Female,Negative
146,Saskatchewan,30059,"Mule Deer",Male,Negative
147,Saskatchewan,30060,"Mule Deer",Female,Negative
148,Saskatchewan,30061,"Mule Deer",Female,Negative
149,Saskatchewan,30062,"Mule Deer",Female,Negative
150,Saskatchewan,30063,"Mule Deer",Female,Negative
151,Saskatchewan,30064,"Mule Deer",Female,Negative
152,Saskatchewan,30065,"Mule Deer",Female,Negative
153,Saskatchewan,30066,"Mule Deer",Female,Negative
154,Saskatchewan,30067,"Mule Deer",Female,Negative
155,Saskatchewan,30068,"Mule Deer",Female,Negative
156,Saskatchewan,30069,"Mule Deer",Female,Negative
157,Saskatchewan,30070,"Mule Deer",Female,Negative
158,Saskatchewan,30071,"Mule Deer",Female,Negative
159,Saskatchewan,30072,"Mule Deer",Female,Negative
160,Saskatchewan,30073,"Mule Deer",Female,Negative
161,Saskatchewan,30074,"Mule Deer",Female,Negative
162,Saskatchewan,30075,"Mule Deer",Female,Negative
163,Saskatchewan,30076,"Mule Deer",Female,Negative
164,Saskatchewan,30077,"Mule Deer",Female,Negative
165,Saskatchewan,30078,"Mule Deer",Female,Negative
166,Saskatchewan,30079,"Mule Deer",Female,Negative
167,Saskatchewan,30080,"Mule Deer",Female,Negative
168,Saskatchewan,30081,"Mule Deer",Female,Negative
169,Saskatchewan,30082,"Mule Deer",Female,Negative
170,Saskatchewan,30083,"Mule Deer",Female,Negative
171,Saskatchewan,30084,"Mule Deer",Female,Negative
172,Saskatchewan,30085,"Mule Deer",Female,Negative
173,Saskatchewan,30086,"Mule Deer",Female,Negative
174,Saskatchewan,30087,"Mule Deer",Female,Negative
175,Saskatchewan,30088,"Mule Deer",Female,Negative
176,Saskatchewan,30089,"Mule Deer",Male,Negative
177,Saskatchewan,30090,"Mule Deer",Female,Negative
178,Saskatchewan,30091,"Mule Deer",Female,Negative
179,Saskatchewan,30092,"Mule Deer",Female,Negative
180,Saskatchewan,30093,"Mule Deer",Female,Negative
181,Saskatchewan,30094,"Mule Deer",Female,Negative
182,Saskatchewan,30095,"Mule Deer",Female,Negative
183,Saskatchewan,30096,"Mule Deer",Male,Negative
184,Saskatchewan,30097,"Mule Deer",Female,Negative
185,Saskatchewan,30098,"Mule Deer",Female,Negative
186,Saskatchewan,30099,"Mule Deer",Female,Negative
187,Saskatchewan,30100,"Mule Deer",Female,Negative
188,Saskatchewan,30101,"Mule Deer",Male,Negative
189,Saskatchewan,30102,"Mule Deer",Female,Negative
190,Saskatchewan,30103,"Mule Deer",Female,Negative
191,Saskatchewan,30104,"Mule Deer",Male,Negative
192,Saskatchewan,30105,"Mule Deer",Female,Negative
193,Saskatchewan,30106,"Mule Deer",Male,Negative
194,Saskatchewan,30107,"Mule Deer",Female,Negative
195,Saskatchewan,30108,"Mule Deer",Female,Negative
196,Saskatchewan,30109,"Mule Deer",Female,Negative
197,Saskatchewan,30110,"Mule Deer",Female,Negative
198,Saskatchewan,30111,"Mule Deer",Female,Negative
199,Saskatchewan,30112,"Mule Deer",Female,Negative
200,Saskatchewan,30113,"Mule Deer",Female,Negative
201,Saskatchewan,30114,"Mule Deer",Male,Negative
202,Saskatchewan,30115,"Mule Deer",Female,Negative
203,Saskatchewan,30116,"Mule Deer",Female,Negative
204,Saskatchewan,30117,"Mule Deer",Female,Negative
205,Saskatchewan,30118,"Mule Deer",Female,Negative
206,Saskatchewan,30119,"Mule Deer",Female,Negative
207,Saskatchewan,30120,"Mule Deer",Female,Negative
208,Saskatchewan,30121,"Mule Deer",Female,Negative
209,Saskatchewan,30122,"Mule Deer",Female,Negative
210,Saskatchewan,30123,"Mule Deer",Female,Negative
211,Saskatchewan,30124,"Mule Deer",Female,Negative
212,Saskatchewan,30125,"Mule Deer",Male,Negative
213,Saskatchewan,30126,"Mule Deer",Female,Negative
214,Saskatchewan,30127,"Mule Deer",Male,Negative
215,Saskatchewan,30128,"Mule Deer",Female,Negative
216,Saskatchewan,30129,"Mule Deer",Female,Negative
217,Saskatchewan,30130,"Mule Deer",Female,Negative
218,Saskatchewan,30131,"Mule Deer",Male,Negative
219,Saskatchewan,30132,"Mule Deer",Female,Negative
220,Saskatchewan,30133,"Mule Deer",Female,Negative
221,Saskatchewan,30134,"Mule Deer",Female,Negative
222,Saskatchewan,30135,"Mule Deer",Female,Negative
223,Saskatchewan,30136,"Mule Deer",Female,Negative
224,Saskatchewan,30137,"Mule Deer",Female,Negative
225,Saskatchewan,30138,"Mule Deer",Female,Negative
226,Saskatchewan,30139,"Mule Deer",Male,Negative
227,Saskatchewan,30140,"Mule Deer",Female,Negative
228,Saskatchewan,30141,"Mule Deer",Male,Negative
229,Saskatchewan,30142,"Mule Deer",Male,Negative
230,Saskatchewan,30143,"Mule Deer",Female,Negative
231,Saskatchewan,30144,"Mule Deer",Female,Negative
232,Saskatchewan,30145,"Mule Deer",Female,Negative
233,Saskatchewan,30146,"Mule Deer",Female,Negative
234,Saskatchewan,30147,"Mule Deer",Female,Negative
235,Saskatchewan,30148,"Mule Deer",Female,Negative
236,Saskatchewan,30149,"Mule Deer",Female,Negative
237,Saskatchewan,30150,"Mule Deer",Female,Negative
238,Saskatchewan,30151,"Mule Deer",Female,Negative
239,Saskatchewan,30152,"Mule Deer",Female,Negative
240,Saskatchewan,30153,"Mule Deer",Female,Negative
241,Saskatchewan,30154,"Mule Deer",Male,Negative
242,Saskatchewan,30155,"Mule Deer",Female,Negative
243,Saskatchewan,30156,"Mule Deer",Female,Negative
244,Saskatchewan,30157,"Mule Deer",Female,Negative
245,Saskatchewan,30158,"Mule Deer",Female,Negative
246,Saskatchewan,30159,"Mule Deer",Male,Negative
247,Saskatchewan,30160,"Mule Deer",Female,Negative
248,Saskatchewan,30161,"Mule Deer",Male,Negative
249,Saskatchewan,30162,"Mule Deer",Female,Negative
250,Saskatchewan,30163,"Mule Deer",Female,Negative
251,Saskatchewan,30164,"Mule Deer",Female,Negative
252,Saskatchewan,30165,"Mule Deer",Female,Negative
253,Saskatchewan,30166,"Mule Deer",Female,Negative
254,Saskatchewan,30167,"Mule Deer",Female,Negative
255,Saskatchewan,30168,"Mule Deer",Female,Negative
256,Saskatchewan,30169,"Mule Deer",Female,Negative
257,Saskatchewan,30170,"Mule Deer",Female,Negative
258,Saskatchewan,30171,"Mule Deer",Female,Negative
259,Saskatchewan,30172,"Mule Deer",Female,Negative
260,Saskatchewan,30173,"Mule Deer",Female,Negative
261,Saskatchewan,30174,"Mule Deer",Female,Negative
262,Saskatchewan,30175,"Mule Deer",Female,Negative
263,Saskatchewan,30176,"Mule Deer",Female,Negative
264,Saskatchewan,30177,"Mule Deer",Female,Negative
265,Saskatchewan,30178,"Mule Deer",Female,Negative
266,Saskatchewan,30179,"Mule Deer",Male,Negative
267,Saskatchewan,30180,"Mule Deer",Female,Negative
268,Saskatchewan,30181,"Mule Deer",Male,Negative
269,Saskatchewan,30182,"Mule Deer",Female,Negative
270,Saskatchewan,30183,"Mule Deer",Male,Negative
271,Saskatchewan,30184,"Mule Deer",Male,Negative
272,Saskatchewan,30185,"Mule Deer",Male,Negative
273,Saskatchewan,30186,"Mule Deer",Female,Negative
274,Saskatchewan,30187,"Mule Deer",Female,Negative
275,Saskatchewan,30188,"Mule Deer",Female,Negative
276,Saskatchewan,30189,"Mule Deer",Female,Negative
277,Saskatchewan,30190,"Mule Deer",Female,Negative
278,Saskatchewan,30191,"Mule Deer",Female,Negative
279,Saskatchewan,30192,"Mule Deer",Female,Negative
280,Saskatchewan,30193,"Mule Deer",Female,Negative
281,Saskatchewan,30194,"Mule Deer",Male,Negative
282,Saskatchewan,30195,"Mule Deer",Female,Negative
283,Saskatchewan,30196,"Mule Deer",Female,Negative
284,Saskatchewan,30197,"Mule Deer",Female,Negative
285,Saskatchewan,30198,"Mule Deer",Female,Negative
286,Saskatchewan,30199,"Mule Deer",Female,Negative
287,Saskatchewan,30200,"Mule Deer",Male,Negative
288,Saskatchewan,30201,"Mule Deer",Male,Negative
289,Saskatchewan,30202,"Mule Deer",Male,Negative
290,Saskatchewan,30203,"Mule Deer",Female,Negative
291,Saskatchewan,30204,"Mule Deer",Male,Negative
292,Saskatchewan,30205,"Mule Deer",Female,Negative
293,Saskatchewan,30206,"Mule Deer",Female,Negative
294,Saskatchewan,30207,"Mule Deer",Female,Negative
295,Saskatchewan,30208,"Mule Deer",Female,Negative
296,Saskatchewan,30209,"Mule Deer",Female,Negative
297,Saskatchewan,30210,"Mule Deer",Female,Negative
298,Saskatchewan,30211,"Mule Deer",Female,Negative
299,Saskatchewan,30212,"Mule Deer",Male,Negative
300,Saskatchewan,30213,"Mule Deer",Male,Negative
301,Saskatchewan,30214,"Mule Deer",Male,Negative
302,Saskatchewan,30215,"Mule Deer",Male,Negative
303,Saskatchewan,30216,"Mule Deer",Male,Negative
304,Saskatchewan,30217,"Mule Deer",Male,Negative
305,Saskatchewan,30218,"Mule Deer",Male,Negative
306,Saskatchewan,30219,"Mule Deer",Male,Negative
307,Saskatchewan,30220,"Mule Deer",Male,Negative
308,Saskatchewan,30221,"Mule Deer",Female,Negative
309,Saskatchewan,30222,"Mule Deer",Female,Negative
310,Saskatchewan,30223,"Mule Deer",Female,Negative
311,Saskatchewan,30224,"Mule Deer",Female,Negative
312,Saskatchewan,30225,"Mule Deer",Female,Negative
313,Saskatchewan,30227,"Mule Deer",Male,Negative
314,Saskatchewan,30228,"Mule Deer",Male,Negative
315,Saskatchewan,30229,"Mule Deer",Male,Negative
316,Saskatchewan,30230,"Mule Deer",Male,Negative
317,Saskatchewan,30231,"Mule Deer",Female,Negative
318,Saskatchewan,30232,"Mule Deer",Female,Negative
319,Saskatchewan,30233,"Mule Deer",Female,Negative
320,Saskatchewan,30234,"Mule Deer",Female,Negative
321,Saskatchewan,30235,"Mule Deer",Female,Negative
322,Saskatchewan,30236,"Mule Deer",Female,Negative
323,Saskatchewan,30237,"Mule Deer",Male,Negative
324,Saskatchewan,30238,"Mule Deer",Male,Negative
325,Saskatchewan,30239,"Mule Deer",Female,Negative
326,Saskatchewan,30240,"Mule Deer",Female,Negative
327,Saskatchewan,30241,"Mule Deer",Male,Negative
328,Saskatchewan,30242,"Mule Deer",Female,Negative
329,Saskatchewan,30243,"Mule Deer",Male,Negative
330,Saskatchewan,30244,"Mule Deer",Female,Negative
331,Saskatchewan,30245,"Mule Deer",Male,Negative
332,Saskatchewan,30246,"Mule Deer",Male,Negative
333,Saskatchewan,30247,"Mule Deer",Male,Negative
334,Saskatchewan,30248,"Mule Deer",Female,Negative
335,Saskatchewan,30249,"Mule Deer",Female,Negative
336,Saskatchewan,30250,"Mule Deer",Female,Negative
337,Saskatchewan,30252,"Mule Deer",Female,Negative
338,Saskatchewan,30253,"Mule Deer",Male,Negative
